#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
805.0,4103,5156.610392
490.0,3857,5163.952321
305.0,3047,5169.819943
515.0,3711,5176.944277
195.0,1679,5180.203942
490.0,3813,5187.492726
445.0,3749,5194.779395
535.0,4687,5203.672398
285.0,2703,5208.876276
495.0,3757,5234.787393
505.0,4091,5242.659241
555.0,3737,5249.914564
600.0,3985,5257.644497
395.0,2933,5263.358977
275.0,2703,5268.582804
410.0,2867,5274.160831
305.0,2351,5278.688404
280.0,2189,5282.927304
485.0,3907,5290.359237
390.0,3037,5296.170377
425.0,2693,5301.344338
385.0,2927,5306.988405
400.0,3159,5313.156992
605.0,3855,5320.520239
440.0,2925,5326.110887
390.0,2445,5330.851489
575.0,4171,5338.779794
715.0,4073,5346.556065
605.0,3305,5352.949509
720.0,4717,5361.961383
865.0,5985,5373.640056
365.0,2971,5379.375203
775.0,3464,5386.070421
255.0,2409,5390.653127
490.0,3725,5397.785731
300.0,2283,5402.197765
395.0,2737,5407.502951
520.0,3475,5414.187236
555.0,3681,5421.323404
570.0,4313,5447.802587
750.0,5197,5457.861851
325.0,2471,5462.636607
445.0,3453,5469.303219
555.0,3888,5476.883183
800.0,4047,5484.590565
555.0,4679,5493.680659
385.0,2645,5498.741173
245.0,2333,5503.26572
575.0,5046,5512.905461
300.0,4624,5521.852985
525.0,3519,5528.604777
395.0,3753,5535.858138
565.0,3957,5543.355636
365.0,3149,5549.265005
595.0,2785,5554.791114
235.0,2523,5559.63112
265.0,2543,5564.581879
235.0,2575,5569.555912
210.0,1985,5573.396741
545.0,3779,5580.665995
625.0,3784,5588.054021
570.0,4265,5596.257016
465.0,3439,5602.94593
580.0,4598,5611.675084
390.0,3677,5618.869666
390.0,3661,5626.052353
755.0,3495,5632.702556
360.0,2455,5637.444693
610.0,4859,5663.491245
600.0,5695,5674.33989
600.0,4651,5683.06416
395.0,2599,5688.099335
970.0,4937,5697.511561
785.0,6539,5710.086451
230.0,2199,5714.369196
475.0,3995,5722.030481
380.0,3087,5727.963099
215.0,2233,5732.270126
395.0,2796,5737.860069
665.0,4535,5746.54413
860.0,4699,5755.523064
575.0,4117,5763.418243
250.0,2183,5767.643162
510.0,2817,5773.099089
570.0,3697,5780.227661
385.0,3728,5787.406496
425.0,3643,5794.570934
320.0,3550,5801.508328
65.0,1533,5804.508851
555.0,3167,5810.652232
665.0,3361,5817.153438
465.0,4259,5825.371674
885.0,5201,5835.421202
525.0,4659,5844.441838
545.0,4292,5870.108393
355.0,2912,5875.785969
510.0,3973,5883.472494
600.0,4499,5892.060459
775.0,3635,5898.955802
575.0,4325,5907.274167
545.0,4219,5915.535353
630.0,3333,5921.972651
445.0,3799,5929.306025
280.0,2665,5934.474003
265.0,2719,5939.712243
575.0,4051,5947.509477
635.0,4576,5956.340941
780.0,4343,5964.647634
90.0,1545,5967.642914
340.0,3345,5974.279245
615.0,2595,5979.264441
600.0,3873,5986.693781
805.0,5265,5996.763762
565.0,3869,6004.116762
605.0,4757,6013.122638
250.0,2877,6018.749203
420.0,4555,6027.513229
600.0,4827,6036.860687
655.0,3281,6043.172269
785.0,4207,6051.212151
600.0,5055,6060.776896
1060.0,6639,6093.730927
320.0,2735,6099.002174
745.0,5011,6108.517631
470.0,3807,6115.769793
280.0,2391,6120.429459
440.0,2799,6125.739429
605.0,4845,6134.952808
655.0,4205,6143.012211
575.0,4624,6151.821348
555.0,4645,6160.796542
270.0,2605,6165.717479
500.0,3841,6173.076202
545.0,5099,6182.801372
570.0,4685,6191.702332
540.0,2931,6197.250514
475.0,4003,6204.734855
